2014-01-16,12,20,1
2014-01-17,22,4,0
2014-01-17,24,7,0
2014-01-18,30,9,0
2014-01-19,22,2,1
2014-01-20,6,7,0
2014-01-22,24,12,1
2014-01-23,25,8,1
2014-01-24,23,28,0
2014-01-24,10,18,0
2014-01-25,28,13,0
2014-01-26,26,8,0
2014-01-27,3,28,0
2014-01-28,11,27,1
2014-01-29,18,19,1
2014-01-31,29,10,0
2014-02-01,12,3,1
2014-02-01,25,28,1
2014-02-03,30,25,1
2014-02-05,15,7,0
2014-02-07,13,28,1
2014-02-08,9,8,1
2014-02-09,3,19,1
2014-02-10,12,8,1
2014-02-11,25,21,0
2014-02-12,3,4,1
2014-02-12,29,23,1
2014-01-20,5,14,1
2014-01-22,20,23,0
2014-01-24,2,21,0
2014-01-24,26,12,0
2014-01-25,4,5,0
2014-01-26,20,14,1
2014-01-27,17,13,0
2014-01-28,6,19,0
2014-01-29,16,21,0
2014-01-29,26,15,0
2014-01-31,3,21,0
2014-02-01,15,17,1
2014-02-03,17,20,1
2014-02-04,24,5,0
2014-02-05,30,27,0
2014-02-07,20,8,1
2014-02-08,1,15,0
2014-02-09,22,12,1
2014-02-10,17,2,0
2014-02-11,6,26,1
2014-02-12,20,26,0
2014-01-30,12,24,0
2014-01-31,18,15,0
2014-02-01,30,21,1
2014-02-03,7,6,1
2014-02-05,20,25,0
2014-02-07,30,6,0
2014-02-09,13,23,1
2014-02-10,10,23,1
2014-02-11,15,30,1
2014-02-12,28,1,1
2014-02-12,10,16,0
2014-01-30,20,6,1
2014-01-31,23,1,0
2014-02-01,19,5,1
2014-02-03,8,13,1
2014-02-04,18,14,1
2014-02-05,23,2,0
2014-02-07,7,29,1
2014-02-08,4,27,0
2014-02-09,30,26,1
2014-02-11,14,29,0
2014-02-12,9,6,0
2014-02-13,5,3,1
2014-02-18,23,6,0
2014-02-18,9,4,0
2014-02-18,17,22,1
2014-02-18,8,24,0
2014-02-19,19,20,0
2014-02-21,24,27,1
2014-02-22,1,20,1
2014-02-23,6,30,0
2014-02-24,29,2,1
2014-02-25,1,5,0
2014-02-26,7,19,1
2014-02-26,25,3,1
2014-02-27,8,3,0
2014-02-28,20,10,0
2014-03-01,2,12,0
2014-03-02,24,1,1
2014-03-03,3,5,1
2014-03-04,6,27,0
2014-03-05,9,5,0
2014-03-06,14,13,0
2014-03-07,4,6,1
2014-03-09,18,28,0
2014-03-10,17,22,1
2014-03-11,15,25,1
2014-03-12,30,4,0
2014-03-14,27,14,1
2014-03-15,5,26,1
2014-03-16,19,2,1
2014-03-17,8,13,1
2014-03-18,6,16,0
2014-03-19,19,28,0
2014-03-21,24,9,1
2014-03-22,10,27,0
2014-03-23,26,17,1
2014-03-24,5,12,1
2014-03-26,27,8,1
2014-03-27,1,25,0
2014-03-28,3,6,1
2014-03-31,8,15,0
2014-04-02,28,11,1
2014-04-02,26,14,1
2014-04-04,28,12,1
2014-04-06,10,29,1
2014-04-09,19,24,0
2014-04-09,25,26,1
2014-04-10,10,8,0
2014-04-11,22,30,0
2014-04-11,27,24,1
2014-04-12,30,17,1
2014-04-13,25,10,1
2014-04-14,5,22,1
2014-04-16,17,1,0
2014-02-13,14,21,0
2014-02-18,12,1,1
2014-02-18,30,28,0
2014-02-18,15,20,1
2014-02-18,7,16,0
2014-02-19,25,27,0
2014-02-21,25,29,1
2014-02-22,30,19,1
2014-02-23,25,18,1
2014-02-24,23,17,0
2014-02-25,8,25,0
2014-02-26,15,14,1
2014-02-28,24,19,1
2014-03-01,11,9,1
2014-03-02,27,7,1
2014-03-03,17,29,1
2014-03-04,14,19,0
2014-03-05,2,10,0
2014-03-07,20,29,1
2014-03-09,7,12,1
2014-03-10,4,8,1
2014-03-11,10,7,1
2014-03-12,2,20,0
2014-03-14,19,25,0
2014-03-16,27,29,1
2014-03-19,8,9,1
2014-03-21,16,15,1
2014-03-22,13,9,1
2014-03-23,8,30,1
2014-03-24,19,3,1
2014-03-26,12,16,1
2014-03-28,21,26,1
2014-03-30,14,24,1
2014-03-31,16,28,1
2014-04-01,3,11,1
2014-04-02,22,6,0
2014-04-04,5,17,1
2014-04-06,25,19,1
2014-04-08,1,9,0
2014-04-09,15,16,1
2014-04-11,18,11,1
2014-04-11,14,10,0
2014-04-12,13,26,1
2014-04-13,20,5,1
2014-04-14,23,2,1
